category,revenue
"bed_bath_table",1692714.28
"health_beauty",1620684.04
"computers_accessories",1549252.47
"furniture_decor",1394466.93
"watches_gifts",1387046.31
"sports_leisure",1349252.93
"housewares",1069787.97
"auto",833610.84
"garden_tools",810614.93
"cool_stuff",744649.32
